Age,Education_Level,Years_of_Experience,Programming_Languages_Proficiency,Web_Development_Proficiency,Mobile_Development_Proficiency,Data_Science_Proficiency,DevOps_Proficiency,Cybersecurity_Proficiency,AI_ML_Proficiency,Game_Development_Proficiency,Database_Proficiency,API_Proficiency,Full_Stack_Proficiency,Problem_Solving_Skills,Communication_Skills,Time_Management_Skills,Collaboration_Skills,UI_UX_Proficiency,Graphic_Design_Proficiency,Prototyping_Wireframing_Skills,Web_Security_Knowledge,Performance_Optimization_Skills,SEO_Knowledge,Testing_Debugging_Skills,Staying_Updated_Skills,Flexibility,Preferred_work_environment,Career_goal,Preferred_technology_stack,Predicted_career_path
22,High School,7,5,1,5,1,4,8,5,5,2,1,2,4,3,2,8,2,2,1,8,6,5,7,8,1,Startup,Entrepreneur,Linux,IT Support
27,Ph.D.,5,9,2,4,1,9,2,2,3,7,6,5,7,4,3,9,9,10,2,1,7,4,6,1,4,Corporate,Specialized Technical Expert,Docker,DevOps
30,Ph.D.,8,5,3,1,3,1,9,5,4,4,1,3,7,7,5,2,7,9,4,2,6,4,9,6,6,Remote,Entrepreneur,Linux,IT Support
28,High School,4,8,3,3,3,4,7,1,3,2,5,4,1,3,5,4,7,1,9,2,6,6,5,8,7,Freelance,Specialized Technical Expert,Linux,IT Support
32,Bachelor's Degree,2,10,7,7,5,2,5,3,2,8,6,7,8,4,4,9,7,4,4,10,3,1,10,7,4,Startup,Project Management,MERN,Web Development
28,Master's Degree,9,6,4,2,2,7,9,4,5,4,1,1,1,6,7,10,9,1,5,5,4,9,1,2,4,Startup,Technical Leadership,Juniper,Network Administration
30,Associate Degree,10,6,2,3,5,2,9,1,3,3,2,4,8,2,1,4,4,6,5,6,7,6,3,3,3,Corporate,Project Management,Nmap,Cybersecurity
23,Master's Degree,5,7,2,1,9,2,2,8,2,9,5,4,5,5,10,1,3,5,6,1,6,7,9,1,5,Remote,Technical Leadership,R,Data Science
22,Ph.D.,7,5,1,1,3,7,7,3,4,2,4,2,10,1,5,9,4,7,6,4,5,2,6,4,6,Corporate,Project Management,CCNA,Network Administration
32,Master's Degree,2,10,1,4,8,2,3,9,3,8,5,4,10,3,4,10,10,9,7,10,2,3,1,7,4,Corporate,Specialized Technical Expert,PyTorch,Data Science
26,Bachelor's Degree,7,5,1,3,1,1,5,5,5,4,4,2,3,6,7,1,8,7,9,10,4,3,2,1,9,Remote,Technical Leadership,MadCap Flare,Technical Writing
23,Associate Degree,3,7,1,5,5,9,1,3,2,6,9,2,7,2,9,7,4,4,6,2,3,1,3,9,8,Remote,Specialized Technical Expert,Kubernetes,DevOps
34,Associate Degree,2,6,5,4,2,5,8,1,5,3,3,4,7,4,7,7,2,1,9,5,9,2,10,5,1,Corporate,Entrepreneur,Linux,IT Support
34,High School,8,6,8,7,2,3,5,3,4,5,9,8,7,6,10,2,5,8,6,6,4,1,1,8,10,Corporate,Technical Leadership,Java (Android),Mobile Development
34,Associate Degree,10,6,5,5,7,5,4,9,5,5,2,4,10,3,7,10,7,10,6,1,2,3,10,3,1,Freelance,Specialized Technical Expert,Keras,AI/ML
35,Associate Degree,10,9,9,9,2,2,5,5,1,6,5,7,8,7,3,4,10,1,1,4,8,9,4,5,10,Startup,Entrepreneur,React Native,Web Development
22,High School,4,5,8,10,3,5,4,5,2,7,5,10,2,1,4,1,9,4,7,8,2,3,7,7,3,Corporate,Entrepreneur,Swift,Mobile Development
33,Associate Degree,8,6,1,1,4,2,1,1,9,5,5,3,2,8,5,6,1,9,6,8,10,9,10,8,10,Remote,Entrepreneur,Unreal Engine,Game Development
23,Associate Degree,3,6,10,8,3,4,3,4,3,7,7,10,7,2,10,4,7,6,2,8,9,2,4,10,9,Corporate,Technical Leadership,Ruby on Rails,Web Development
24,High School,4,6,2,3,2,10,4,4,1,5,6,1,9,7,8,4,10,9,2,10,2,10,5,2,10,Startup,Specialized Technical Expert,Ansible,DevOps
31,High School,5,5,2,5,5,4,8,1,3,4,5,4,4,7,10,2,4,10,7,1,10,8,7,4,7,Freelance,Technical Leadership,Snort,Cybersecurity
23,Master's Degree,5,5,1,1,1,4,1,1,10,2,4,3,1,5,8,3,1,10,2,5,10,2,5,8,7,Corporate,Project Management,Godot Engine,Game Development
35,Ph.D.,9,5,3,3,7,4,5,9,1,8,7,4,1,5,4,4,4,7,4,5,3,3,1,6,1,Freelance,Specialized Technical Expert,R,Data Science
25,Bachelor's Degree,9,6,1,2,2,4,10,2,3,3,2,2,2,3,7,9,4,1,9,7,8,4,9,2,6,Remote,Project Management,Windows Server,IT Support
23,Ph.D.,3,5,5,1,4,8,7,2,1,2,4,5,6,9,9,3,10,4,8,10,6,3,9,5,9,Startup,Specialized Technical Expert,CCNA,Network Administration
25,Ph.D.,5,10,3,2,2,5,8,2,5,1,3,2,5,1,5,8,1,3,9,9,10,10,1,9,6,Remote,Project Management,Security Onion,Cybersecurity
25,Master's Degree,2,5,7,8,1,2,3,2,3,6,7,9,4,9,7,10,2,1,2,4,3,5,5,6,6,Freelance,Specialized Technical Expert,MERN,Web Development
30,Ph.D.,10,6,1,5,7,1,5,10,4,8,6,4,2,5,5,4,5,5,3,1,10,6,7,1,3,Corporate,Technical Leadership,"Python (NumPy, Pandas, SciPy)",Data Science
29,Ph.D.,8,10,3,5,1,3,8,3,3,4,3,5,2,8,9,7,9,1,2,3,9,7,3,6,7,Startup,Specialized Technical Expert,Wireshark,Cybersecurity
24,Associate Degree,3,6,9,8,4,4,2,5,2,7,9,9,4,3,10,1,7,2,10,7,7,8,6,10,4,Startup,Project Management,LAMP,Web Development
27,Master's Degree,3,9,5,2,5,9,4,3,2,9,6,4,9,3,2,1,1,10,4,10,1,5,4,7,5,Freelance,Specialized Technical Expert,Kubernetes,DevOps
24,High School,6,10,5,1,10,2,4,9,3,4,1,3,2,8,3,5,5,8,5,5,8,4,8,4,10,Corporate,Entrepreneur,Python,AI/ML
35,Bachelor's Degree,4,8,2,3,2,10,10,1,4,3,5,4,10,9,9,6,8,8,1,10,9,8,8,4,5,Remote,Entrepreneur,Cisco,Network Administration
35,Associate Degree,7,6,2,1,7,1,2,9,3,5,2,4,9,10,1,4,6,1,8,6,1,1,9,6,7,Corporate,Specialized Technical Expert,TensorFlow,AI/ML
33,Associate Degree,8,8,1,2,9,4,1,8,2,5,6,3,3,3,5,5,8,5,1,6,8,5,4,7,1,Remote,Entrepreneur,PyTorch,Data Science
24,Master's Degree,2,7,4,3,4,3,10,1,1,3,5,3,4,5,4,1,2,5,8,7,6,7,3,2,1,Corporate,Project Management,Wireshark,Cybersecurity
22,Ph.D.,8,7,4,1,5,3,9,3,4,5,3,4,6,6,9,2,1,6,4,8,10,9,10,2,5,Freelance,Entrepreneur,Nmap,Cybersecurity
25,Ph.D.,6,9,1,1,2,1,2,5,3,5,1,1,8,7,9,1,1,5,10,6,4,7,5,3,10,Remote,Technical Leadership,MadCap Flare,Technical Writing
25,Associate Degree,4,6,4,1,5,8,5,1,4,7,9,1,6,3,4,6,2,8,1,5,2,9,3,1,10,Corporate,Project Management,Google Cloud,DevOps
33,Ph.D.,2,5,2,1,10,4,2,7,1,3,4,2,1,6,3,4,2,5,3,9,9,1,4,2,9,Remote,Specialized Technical Expert,Keras,AI/ML
28,Master's Degree,4,6,4,3,2,2,2,2,2,5,5,3,1,5,4,3,9,7,7,3,3,3,1,6,5,Freelance,Technical Leadership,Markdown,Technical Writing
24,Associate Degree,3,8,2,2,5,2,8,1,2,5,1,1,3,4,6,2,2,7,5,1,9,10,9,9,1,Remote,Specialized Technical Expert,Troubleshooting,IT Support
25,Bachelor's Degree,2,10,1,3,3,7,7,4,2,4,4,4,4,5,4,10,4,7,2,8,4,3,3,9,2,Corporate,Specialized Technical Expert,CCNA,Network Administration
32,Bachelor's Degree,4,8,5,2,4,4,2,1,3,5,4,3,2,1,4,9,7,3,3,8,6,6,10,10,2,Corporate,Entrepreneur,XML,Technical Writing
35,Associate Degree,2,10,9,9,2,5,5,1,2,7,7,9,6,4,10,8,3,9,7,7,7,2,4,4,1,Freelance,Technical Leadership,Flutter,Mobile Development
35,Master's Degree,6,5,3,2,1,1,1,5,10,1,5,5,5,6,5,5,4,2,7,2,2,10,1,1,6,Freelance,Project Management,Godot Engine,Game Development
31,Ph.D.,10,10,4,5,9,4,1,9,5,5,9,4,10,9,4,10,10,5,7,6,2,7,5,4,4,Corporate,Entrepreneur,PyTorch,Data Science
35,Master's Degree,2,6,1,2,2,10,1,1,4,7,9,1,1,10,7,3,4,7,6,8,6,8,6,1,7,Startup,Specialized Technical Expert,Google Cloud,DevOps
34,Master's Degree,7,8,4,5,7,3,3,9,4,9,8,3,10,2,10,3,2,8,6,4,2,5,4,10,7,Corporate,Project Management,Scikit-learn,Data Science
34,Associate Degree,6,9,1,3,3,3,1,1,8,5,1,1,7,10,3,5,7,2,7,5,9,7,2,7,7,Remote,Entrepreneur,Unity,Game Development
30,Master's Degree,6,8,1,1,5,3,10,5,1,1,3,5,1,8,1,9,10,10,8,10,1,2,1,8,5,Startup,Specialized Technical Expert,Active Directory,IT Support
24,Master's Degree,3,10,7,9,1,1,4,3,4,6,6,7,1,8,1,8,8,5,5,2,2,3,9,3,7,Corporate,Project Management,MEAN,Web Development
27,Associate Degree,3,9,5,1,4,2,3,1,10,3,5,3,9,3,8,6,10,6,6,10,3,8,1,4,7,Corporate,Entrepreneur,CryEngine,Game Development
27,Bachelor's Degree,2,7,3,2,4,5,9,2,2,1,3,5,1,2,8,5,6,1,8,10,8,5,3,8,1,Freelance,Technical Leadership,Kali Linux,Cybersecurity
33,Master's Degree,10,8,1,1,3,2,4,3,4,4,5,3,5,6,5,4,5,10,2,7,7,10,10,3,9,Corporate,Specialized Technical Expert,MS Word,Technical Writing
23,High School,2,6,5,4,4,5,8,2,5,2,2,4,6,5,6,4,9,4,9,1,1,10,7,7,9,Corporate,Specialized Technical Expert,Snort,Cybersecurity
27,High School,10,8,3,1,2,5,2,2,4,1,1,3,8,9,4,3,7,3,2,6,4,4,6,5,4,Startup,Specialized Technical Expert,Markdown,Technical Writing
30,Ph.D.,6,10,8,7,1,5,2,5,2,8,5,8,8,3,5,7,7,4,8,1,2,5,7,9,3,Startup,Technical Leadership,Django,Web Development
22,High School,3,10,2,3,3,2,5,5,3,5,3,1,9,7,8,3,9,3,1,6,3,2,2,1,4,Remote,Project Management,Markdown,Technical Writing
28,Master's Degree,6,9,4,2,3,3,4,3,4,3,2,5,6,4,2,6,4,1,9,3,9,4,7,1,6,Corporate,Technical Leadership,MS Word,Technical Writing
35,Bachelor's Degree,8,8,8,8,2,1,5,5,3,9,5,10,6,8,1,5,7,6,2,3,6,2,10,8,6,Startup,Project Management,JAMstack,Web Development
28,Master's Degree,6,10,3,2,2,1,2,1,3,3,4,5,3,4,2,5,5,1,4,7,4,6,5,2,3,Startup,Specialized Technical Expert,Adobe FrameMaker,Technical Writing
33,High School,9,9,3,4,3,9,2,4,1,8,8,4,1,6,1,9,1,7,8,3,8,3,7,7,3,Corporate,Entrepreneur,Docker,DevOps
24,Associate Degree,4,9,5,3,1,8,10,5,5,5,3,3,3,6,6,10,10,9,3,9,7,6,3,10,4,Startup,Entrepreneur,Cisco,Network Administration
30,Ph.D.,3,9,8,7,4,1,5,4,4,5,9,8,4,7,10,5,9,9,3,2,3,10,4,9,9,Startup,Entrepreneur,Flutter,Mobile Development
32,Master's Degree,3,9,1,1,10,4,1,10,5,2,5,5,7,1,5,5,3,9,3,8,3,5,10,3,4,Corporate,Specialized Technical Expert,Python,AI/ML
34,Associate Degree,7,7,8,9,2,5,3,1,5,8,9,8,3,10,9,9,9,3,2,1,8,8,3,8,2,Startup,Specialized Technical Expert,Flutter,Mobile Development
32,Master's Degree,4,8,4,3,2,3,8,4,1,3,5,5,8,5,2,9,2,2,5,6,4,8,10,4,10,Corporate,Entrepreneur,Kali Linux,Cybersecurity
27,Associate Degree,2,9,4,2,8,2,5,7,4,7,6,3,8,1,6,9,8,8,1,4,10,10,4,10,8,Freelance,Specialized Technical Expert,TensorFlow,Data Science
31,Bachelor's Degree,8,6,9,8,2,1,3,2,2,5,9,7,4,10,1,7,7,1,4,9,3,9,4,7,7,Freelance,Technical Leadership,JAMstack,Web Development
29,High School,10,10,2,4,3,5,5,3,3,3,5,2,6,7,10,10,1,9,9,4,3,9,10,3,10,Remote,Project Management,Adobe FrameMaker,Technical Writing
29,Master's Degree,2,9,4,3,9,3,4,10,1,7,5,4,2,3,6,5,5,8,7,7,10,5,4,2,8,Remote,Entrepreneur,R,Data Science
34,Associate Degree,3,10,2,4,8,3,4,7,5,6,9,1,1,8,4,1,6,3,3,7,2,8,4,7,10,Freelance,Specialized Technical Expert,TensorFlow,Data Science
22,Ph.D.,3,5,5,3,2,7,8,5,2,4,2,3,6,5,2,5,4,5,8,2,3,9,1,9,5,Corporate,Specialized Technical Expert,Cisco,Network Administration
24,Bachelor's Degree,6,5,1,4,7,4,2,7,1,1,1,5,5,8,10,9,9,9,2,2,9,2,4,7,8,Remote,Entrepreneur,Python,AI/ML
29,Associate Degree,4,8,3,3,1,5,9,2,5,2,4,2,1,6,6,1,1,7,5,8,8,9,9,9,8,Remote,Entrepreneur,Wireshark,Cybersecurity
25,High School,6,10,8,9,4,3,5,5,2,7,6,10,9,10,4,1,1,7,7,3,5,9,4,1,9,Startup,Entrepreneur,Flutter,Web Development
25,Associate Degree,10,8,1,1,7,3,1,10,4,9,6,3,6,6,4,7,8,1,8,3,1,9,3,6,4,Startup,Specialized Technical Expert,PyTorch,Data Science
28,Bachelor's Degree,8,5,4,1,5,8,2,3,4,8,6,5,9,3,9,10,2,6,4,6,7,8,6,6,8,Freelance,Specialized Technical Expert,Jenkins,DevOps
32,Master's Degree,6,10,2,1,2,3,8,1,3,5,5,1,2,3,8,6,2,1,9,3,5,5,3,5,7,Freelance,Specialized Technical Expert,Snort,Cybersecurity
23,Associate Degree,5,10,8,8,2,4,2,1,5,9,7,7,6,2,6,10,9,6,1,8,5,6,6,8,2,Startup,Entrepreneur,Swift,Mobile Development
25,Master's Degree,2,10,5,3,8,4,2,7,2,5,4,3,9,1,6,1,7,2,9,9,9,8,7,6,7,Corporate,Technical Leadership,Keras,AI/ML
23,Master's Degree,9,7,2,4,10,4,1,9,3,4,1,3,4,5,5,9,3,4,5,9,9,1,2,3,6,Freelance,Specialized Technical Expert,TensorFlow,AI/ML
29,High School,2,6,4,1,2,9,7,1,4,1,3,2,4,4,8,9,4,6,9,7,10,3,6,5,4,Freelance,Specialized Technical Expert,CCNP,Network Administration
30,Bachelor's Degree,9,9,5,5,3,1,1,4,10,5,5,5,9,10,5,3,1,9,10,1,9,1,5,6,4,Remote,Technical Leadership,Unreal Engine,Game Development
30,Associate Degree,3,10,2,3,7,4,1,7,2,4,3,2,6,1,10,2,2,8,4,7,9,9,10,6,8,Freelance,Project Management,Python,AI/ML
23,Bachelor's Degree,8,6,4,1,2,3,10,4,5,1,3,5,7,5,1,5,1,9,3,10,8,1,10,9,9,Startup,Entrepreneur,Security Onion,Cybersecurity
27,Ph.D.,2,5,9,8,3,1,5,3,4,9,7,8,6,6,10,9,5,7,6,3,6,8,5,3,7,Remote,Project Management,MERN,Web Development
30,Master's Degree,9,10,4,1,3,4,8,5,2,3,1,5,3,5,4,6,4,6,2,5,5,2,6,3,6,Freelance,Entrepreneur,Security Onion,Cybersecurity
27,Bachelor's Degree,10,8,5,3,4,3,2,1,2,5,3,4,3,5,3,9,4,1,9,7,7,6,9,8,3,Remote,Entrepreneur,Markdown,Technical Writing
34,Associate Degree,9,8,1,3,5,3,8,4,1,5,1,4,7,10,1,9,10,2,8,2,4,7,9,1,3,Freelance,Specialized Technical Expert,Troubleshooting,IT Support
25,Associate Degree,8,9,8,8,3,3,5,2,3,6,5,9,1,6,10,10,4,7,5,3,3,6,2,9,9,Remote,Project Management,Flutter,Mobile Development
33,Bachelor's Degree,10,5,4,4,2,2,4,1,3,1,2,4,3,8,4,3,6,10,6,5,4,3,1,3,6,Freelance,Project Management,Adobe FrameMaker,Technical Writing
35,High School,10,6,3,1,1,10,4,2,4,9,7,4,8,9,5,1,9,4,6,9,5,10,6,6,3,Remote,Project Management,Google Cloud,DevOps
25,Ph.D.,7,7,9,9,4,2,2,1,3,7,8,8,10,8,2,8,2,9,7,10,4,2,6,9,10,Startup,Entrepreneur,MEAN,Web Development
30,Master's Degree,5,10,2,3,7,3,1,9,1,5,9,1,9,6,8,10,3,6,9,10,10,8,9,10,6,Freelance,Technical Leadership,"Python (NumPy, Pandas, SciPy)",Data Science
34,High School,4,7,7,10,1,3,5,2,1,9,7,9,2,4,2,9,2,9,4,10,4,6,7,10,1,Freelance,Project Management,Django,Web Development
33,Bachelor's Degree,4,10,9,8,5,1,4,2,2,8,6,10,7,8,8,7,2,9,9,4,3,8,4,5,3,Corporate,Entrepreneur,Flutter,Mobile Development
32,High School,8,6,1,2,5,7,9,3,2,5,4,5,4,3,5,8,2,1,10,10,1,7,7,3,5,Remote,Project Management,CCNP,Network Administration
22,Bachelor's Degree,5,6,10,9,5,4,2,3,4,5,6,10,7,10,5,4,5,1,4,8,7,2,6,4,4,Remote,Entrepreneur,MERN,Web Development
34,Master's Degree,8,10,4,3,1,2,4,2,9,5,4,1,1,6,8,4,7,9,2,6,7,8,1,3,4,Freelance,Project Management,Lumberyard,Game Development
32,Associate Degree,7,6,2,1,3,1,9,5,3,1,2,5,2,3,2,10,9,3,6,1,10,6,2,2,8,Remote,Entrepreneur,Troubleshooting,IT Support
32,Associate Degree,7,10,4,4,4,3,5,4,9,4,5,4,8,5,2,7,5,1,4,1,8,7,7,8,2,Remote,Specialized Technical Expert,Godot Engine,Game Development
35,Ph.D.,3,9,4,4,5,3,3,5,10,2,3,3,1,9,6,5,3,1,9,1,8,5,6,5,5,Remote,Specialized Technical Expert,Unreal Engine,Game Development
27,Bachelor's Degree,10,7,3,3,4,4,7,4,1,1,5,5,3,8,6,8,6,4,7,5,4,9,6,3,4,Corporate,Project Management,Networking Basics,IT Support
30,Master's Degree,5,8,5,2,5,3,1,2,8,3,4,2,6,5,4,1,4,10,1,8,1,1,10,5,1,Startup,Technical Leadership,Godot Engine,Game Development
33,Ph.D.,4,5,5,1,1,2,10,1,1,2,5,2,1,1,2,9,9,6,2,1,5,6,10,2,10,Corporate,Project Management,Networking Basics,IT Support
24,Bachelor's Degree,5,7,5,1,9,1,2,7,3,2,4,3,10,7,3,3,5,2,6,7,4,9,7,10,2,Freelance,Project Management,Keras,AI/ML
22,Associate Degree,7,7,3,5,4,7,7,3,5,5,2,2,7,8,2,10,6,10,2,8,1,9,5,4,5,Startup,Project Management,CCNP,Network Administration
24,Associate Degree,3,10,3,2,2,10,7,4,3,2,1,2,1,6,5,4,3,3,7,1,6,2,10,7,6,Corporate,Specialized Technical Expert,Network Security,Network Administration
