Age,Education_Level,Years_of_Experience,Programming_Languages_Proficiency,Web_Development_Proficiency,Mobile_Development_Proficiency,Data_Science_Proficiency,DevOps_Proficiency,Cybersecurity_Proficiency,AI_ML_Proficiency,Game_Development_Proficiency,Database_Proficiency,API_Proficiency,Full_Stack_Proficiency,Problem_Solving_Skills,Communication_Skills,Time_Management_Skills,Collaboration_Skills,UI_UX_Proficiency,Graphic_Design_Proficiency,Prototyping_Wireframing_Skills,Web_Security_Knowledge,Performance_Optimization_Skills,SEO_Knowledge,Testing_Debugging_Skills,Staying_Updated_Skills,Flexibility,Preferred_work_environment,Career_goal,Preferred_technology_stack,Predicted_career_path
29,Associate Degree,8,8,1,2,1,5,9,2,4,1,2,1,6,1,8,7,4,4,2,7,5,10,5,9,9,Freelance,Project Management,Unreal Engine,Cybersecurity Specialist
34,High School,10,10,1,2,1,3,4,1,2,4,2,2,6,10,3,6,8,1,7,10,4,10,6,1,8,Startup,Technical Leadership,React Native,IT Support Specialist
24,Ph.D.,9,9,5,5,3,3,4,3,7,4,1,3,2,1,6,10,10,2,10,5,4,9,9,2,4,Freelance,Specialized Technical Expert,Ruby on Rails,Technical Writer
29,High School,10,8,4,4,1,1,2,1,5,1,3,4,7,6,6,10,3,6,1,1,2,8,4,2,3,Remote,Project Management,MERN,Technical Writer
33,High School,6,8,5,2,4,9,3,4,3,5,9,3,10,2,5,3,8,1,2,10,6,8,2,8,5,Remote,Technical Leadership,MERN,DevOps Engineer
30,Bachelor's Degree,2,8,4,2,7,5,2,9,4,5,7,3,5,8,4,3,5,3,2,5,10,2,9,4,4,Remote,Entrepreneur,LAMP,Mobile Developer
33,Bachelor's Degree,6,5,4,2,5,5,5,4,5,4,2,5,9,1,10,2,1,1,7,1,6,1,2,2,9,Corporate,Entrepreneur,Unity,IT Support Specialist
34,Bachelor's Degree,2,5,2,3,5,2,1,1,3,2,1,5,9,1,6,8,5,2,5,10,9,3,6,6,6,Corporate,Specialized Technical Expert,MERN,Web Developer
34,High School,2,8,1,3,2,5,1,1,8,4,2,2,10,9,9,10,9,2,4,7,1,8,8,7,6,Remote,Technical Leadership,JAMstack,Technical Writer
31,Ph.D.,2,6,1,4,2,5,4,1,4,1,5,1,9,7,10,4,1,4,9,8,2,1,10,2,5,Startup,Technical Leadership,React Native,Data Scientist
28,Ph.D.,7,10,2,5,9,5,1,9,4,5,5,4,7,2,6,10,2,6,5,4,1,3,5,10,10,Freelance,Technical Leadership,React Native,IT Support Specialist
26,Master's Degree,9,7,8,8,1,5,3,3,5,7,9,10,8,8,1,7,3,6,1,6,6,7,7,3,7,Startup,Project Management,Unreal Engine,IT Support Specialist
29,Master's Degree,10,8,5,4,5,2,10,5,5,2,3,5,3,2,8,9,5,7,3,7,10,9,8,2,8,Remote,Technical Leadership,Flutter,Data Scientist
32,Master's Degree,10,6,4,3,4,10,3,1,2,5,9,3,6,9,5,6,3,8,6,7,5,9,2,10,1,Remote,Specialized Technical Expert,Flutter,AI/ML Engineer
29,Master's Degree,2,6,1,1,9,2,3,7,5,9,6,1,4,6,2,5,7,4,5,10,10,3,1,10,5,Freelance,Entrepreneur,Flutter,Game Developer
23,Ph.D.,2,6,9,8,2,2,4,4,1,5,7,7,4,2,8,9,8,4,5,1,1,2,1,6,6,Remote,Entrepreneur,MEAN,AI/ML Engineer
25,Associate Degree,7,8,9,8,2,4,4,2,4,5,8,8,1,1,8,1,9,9,10,2,2,9,5,7,9,Freelance,Specialized Technical Expert,MERN,IT Support Specialist
32,Associate Degree,2,7,5,1,1,2,9,5,2,1,5,3,1,9,2,5,5,1,10,5,1,4,6,4,6,Startup,Specialized Technical Expert,Django,Network Administrator
22,High School,3,7,9,9,1,3,2,2,4,5,6,8,1,10,2,3,1,4,3,1,6,3,8,10,9,Remote,Specialized Technical Expert,MERN,Game Developer
32,Associate Degree,4,8,1,5,3,5,2,3,5,3,2,2,3,5,2,4,7,9,2,10,2,8,7,7,6,Startup,Entrepreneur,Flutter,IT Support Specialist
29,Master's Degree,5,7,3,4,3,4,1,1,2,2,2,2,7,1,3,2,1,6,7,5,7,3,2,8,8,Remote,Technical Leadership,Flutter,Web Developer
26,High School,2,7,3,1,2,3,3,3,7,3,4,2,4,2,7,6,4,9,5,7,2,4,6,5,3,Corporate,Project Management,MERN,Mobile Developer
34,Ph.D.,6,5,1,1,3,1,8,4,3,4,3,4,3,6,8,1,9,10,7,7,7,1,5,7,2,Remote,Entrepreneur,React Native,Cybersecurity Specialist
34,Associate Degree,10,6,10,9,2,4,1,5,1,8,8,9,5,9,4,2,2,5,3,1,6,4,4,9,5,Corporate,Specialized Technical Expert,JAMstack,Data Scientist
23,Associate Degree,3,8,7,7,3,1,1,4,3,8,6,7,7,10,10,1,3,3,1,9,8,2,8,9,5,Remote,Entrepreneur,Unreal Engine,Game Developer
32,Master's Degree,2,8,1,2,5,3,2,2,10,4,2,5,1,4,3,4,10,10,3,6,8,3,4,1,3,Remote,Technical Leadership,Django,DevOps Engineer
34,Bachelor's Degree,6,8,2,1,10,5,2,8,1,5,2,5,2,10,9,3,2,4,7,10,10,10,4,9,2,Freelance,Project Management,Ruby on Rails,Technical Writer
34,High School,4,9,5,5,3,1,3,2,4,4,1,1,7,6,10,4,10,2,5,4,3,2,9,6,10,Startup,Specialized Technical Expert,MERN,IT Support Specialist
35,Master's Degree,3,6,4,3,4,3,1,3,2,3,2,4,1,2,9,1,1,1,1,2,2,1,8,10,5,Startup,Project Management,Flutter,Game Developer
23,Associate Degree,5,6,2,3,4,1,1,5,2,1,3,3,6,6,1,5,2,6,2,1,10,3,2,2,9,Corporate,Specialized Technical Expert,React Native,Technical Writer
31,Bachelor's Degree,8,6,3,1,8,5,5,7,1,7,9,5,4,9,8,6,4,6,6,9,1,5,2,5,5,Remote,Project Management,Flutter,Game Developer
32,Master's Degree,10,6,3,1,4,5,4,4,7,3,2,3,1,9,7,3,1,5,7,7,6,6,9,4,7,Remote,Entrepreneur,Unity,Data Scientist
24,Master's Degree,8,5,5,2,4,2,10,5,3,4,1,5,9,5,6,9,5,10,3,10,10,9,5,6,5,Remote,Entrepreneur,Ruby on Rails,Game Developer
