Age,Education_Level,Years_of_Experience,Programming_Languages_Proficiency,Web_Development_Proficiency,Mobile_Development_Proficiency,Data_Science_Proficiency,DevOps_Proficiency,Cybersecurity_Proficiency,AI_ML_Proficiency,Game_Development_Proficiency,Database_Proficiency,API_Proficiency,Full_Stack_Proficiency,Problem_Solving_Skills,Communication_Skills,Time_Management_Skills,Collaboration_Skills,UI_UX_Proficiency,Graphic_Design_Proficiency,Prototyping_Wireframing_Skills,Web_Security_Knowledge,Performance_Optimization_Skills,SEO_Knowledge,Testing_Debugging_Skills,Staying_Updated_Skills,Flexibility,Preferred_work_environment,Career_goal,Preferred_technology_stack,Predicted_career_path
33,High School,5,7,3,2,4,3,5,4,7,4,2,2,7,2,1,3,4,7,10,7,10,1,6,8,9,Remote,Project Management,CryEngine,Game Development
30,Master's Degree,7,9,1,1,7,3,3,8,1,3,1,4,9,7,10,2,2,1,5,1,9,1,1,4,7,Startup,Entrepreneur,TensorFlow,AI/ML
29,Master's Degree,3,8,5,4,3,3,9,2,4,3,2,3,10,8,8,2,2,5,6,7,2,10,6,6,5,Remote,Specialized Technical Expert,Wireshark,Cybersecurity
31,High School,9,5,4,1,3,8,9,5,3,4,2,2,4,1,9,3,5,4,5,6,5,10,1,10,5,Startup,Entrepreneur,Juniper,Network Administration
28,Bachelor's Degree,10,6,5,4,5,10,2,1,2,8,6,4,3,9,1,3,10,6,6,6,4,1,5,7,3,Startup,Project Management,Docker,DevOps
27,Associate Degree,7,5,5,2,1,5,5,3,10,2,4,3,5,4,3,8,2,6,9,9,1,2,2,8,4,Corporate,Project Management,Unity,Game Development
26,Associate Degree,7,10,4,5,7,2,3,8,4,7,9,2,4,6,7,8,6,9,9,5,9,3,6,3,4,Startup,Technical Leadership,TensorFlow,Data Science
35,Ph.D.,9,5,2,3,1,2,5,4,4,2,3,1,6,2,3,4,7,9,10,9,8,5,8,10,1,Corporate,Entrepreneur,MS Word,Technical Writing
33,Ph.D.,6,9,5,3,1,7,5,1,1,8,9,4,1,1,1,4,2,10,7,6,1,4,10,7,3,Startup,Entrepreneur,Kubernetes,DevOps
30,High School,6,9,3,2,1,3,7,2,4,5,1,5,3,9,7,8,2,3,5,1,6,1,3,5,5,Corporate,Project Management,Linux,IT Support
22,Ph.D.,8,5,4,1,7,2,2,10,4,8,8,1,3,5,2,5,4,5,1,2,6,1,1,8,6,Remote,Specialized Technical Expert,SQL,Data Science
34,Master's Degree,5,9,3,2,4,3,9,1,1,5,5,3,1,9,2,5,1,8,7,8,2,4,9,1,3,Startup,Technical Leadership,Networking Basics,IT Support
32,High School,6,10,5,5,5,3,7,3,1,2,2,2,8,8,1,1,1,1,5,3,8,10,1,9,1,Startup,Specialized Technical Expert,Windows Server,IT Support
23,Bachelor's Degree,4,6,8,10,3,5,3,1,2,9,5,10,6,1,9,2,5,9,2,6,6,1,8,8,10,Startup,Project Management,MERN,Web Development
23,Ph.D.,8,7,2,1,1,4,10,2,1,2,5,1,2,3,3,2,6,2,2,3,8,1,9,9,9,Corporate,Technical Leadership,Kali Linux,Cybersecurity
33,Bachelor's Degree,6,10,1,4,2,1,3,2,7,5,4,3,10,7,4,10,9,2,7,2,4,2,3,9,5,Corporate,Entrepreneur,CryEngine,Game Development
31,High School,9,7,2,5,2,9,4,2,1,6,9,2,7,8,6,2,3,1,1,4,10,2,9,7,5,Freelance,Entrepreneur,Azure,DevOps
27,Bachelor's Degree,3,5,8,9,1,4,5,3,4,7,6,10,2,4,1,5,1,10,5,3,8,1,1,3,4,Remote,Entrepreneur,Ruby on Rails,Web Development
26,Associate Degree,10,6,4,5,1,2,9,5,5,3,1,2,4,7,3,10,1,10,2,4,7,7,4,5,3,Corporate,Technical Leadership,Networking Basics,IT Support
25,Master's Degree,6,9,2,5,2,3,10,2,5,3,5,5,7,5,9,4,4,1,8,4,7,1,8,3,7,Remote,Project Management,Snort,Cybersecurity
33,Ph.D.,2,6,3,2,7,2,2,7,5,3,4,2,2,10,7,8,9,10,5,6,1,5,10,6,10,Freelance,Project Management,Keras,AI/ML
28,Bachelor's Degree,4,7,3,5,3,7,10,2,1,1,5,5,10,5,9,1,6,5,3,5,4,5,9,5,4,Corporate,Specialized Technical Expert,CCNP,Network Administration
26,Bachelor's Degree,7,10,3,4,1,10,2,1,3,9,8,1,1,8,4,5,2,10,6,2,2,5,10,9,9,Startup,Project Management,AWS,DevOps
35,Bachelor's Degree,9,6,5,4,10,1,1,7,3,1,3,1,1,2,1,6,5,5,5,7,4,2,1,1,3,Corporate,Project Management,Python,AI/ML
32,Bachelor's Degree,5,9,2,3,3,1,2,4,8,2,3,1,7,8,5,1,8,6,8,8,9,4,3,6,7,Corporate,Technical Leadership,CryEngine,Game Development
22,Bachelor's Degree,9,7,3,1,5,1,8,5,2,1,4,5,6,8,4,6,3,6,3,7,1,9,6,1,5,Remote,Technical Leadership,Metasploit,Cybersecurity
22,Associate Degree,4,7,10,9,1,2,5,3,1,8,7,9,7,1,4,6,7,3,10,8,5,3,6,4,7,Startup,Entrepreneur,MEAN,Web Development
29,Associate Degree,9,6,3,5,2,1,1,2,9,4,1,4,2,2,5,2,9,8,5,10,1,7,2,6,9,Corporate,Project Management,Unreal Engine,Game Development
34,Master's Degree,10,10,7,8,3,3,5,3,1,8,6,10,10,1,1,8,2,4,9,10,7,7,1,10,7,Startup,Technical Leadership,Flutter,Mobile Development
